id,vorname,nachname,partei,fraktion,kanton,geschlecht
171,Fabio,Regazzi,M,M-E,TI,M
172,Lukas,Reimann,SVP,V,SG,M
178,Markus,Ritter,M,M-E,SG,M
179,Marco,Romano,M,M-E,TI,M
180,Albert,Rösti,SVP,V,BE,M
182,Gregor,Rutz,SVP,V,ZH,M
185,Peter,Schilliger,FDP,RL,LU,M
187,Ursula,Schneider Schüttel,SP,S,FR,F
188,Elisabeth,Schneider-Schneiter,M,M-E,BL,F
190,Pirmin,Schwander,SVP,V,SZ,M
192,Carlo,Sommaruga,SP,S,GE,M
195,Marianne,Streiff-Feller,EVP,M-E,BE,F
196,Adèle,Thorens Goumaz,Grüne,G,VD,F
198,Aline,Trede,Grüne,G,BE,F
206,Erich,von Siebenthal,SVP,V,BE,M
